                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1734,                 3.5333,                 2.1938,                0.00347,                   0.85,                0.07475,                0.02435,                 2.1827,                  3.956,                 2.1529,             0.00065625,             0.00065625,             0.00065625
                      2,                 2.0835,                 2.9747,                 1.9726,                0.09081,                    0.1,                0.02982,                0.00792,                 2.1538,                 8.5297,                 2.3138,              0.0013203,              0.0013203,              0.0013203
                      3,                 2.0839,                 2.8311,                 1.9502,                0.08544,                0.16667,                0.05634,                 0.0149,                 2.6054,                 6.7791,                 2.3098,              0.0019817,              0.0019817,              0.0019817
                      4,                 2.0859,                 2.7635,                 1.9768,                0.13952,                   0.15,                0.08065,                0.01689,                 2.3827,                 3.9967,                 2.4996,              0.0019881,              0.0019881,              0.0019881
                      5,                 2.0938,                 2.5453,                 2.0337,                 0.1583,                0.08333,                0.05513,                0.01519,                 2.4152,                 4.6871,                 2.4991,              0.0019881,              0.0019881,              0.0019881
                      6,                 2.0378,                 2.4891,                 2.0145,                0.22678,                0.23333,                0.18914,                0.05751,                 2.2759,                 3.5044,                 2.2393,              0.0019842,              0.0019842,              0.0019842
                      7,                 2.0012,                 2.3652,                  1.925,                0.09744,                   0.35,                0.06074,                0.02311,                 2.2009,                 6.5927,                 2.1367,              0.0019802,              0.0019802,              0.0019802
                      8,                 1.9506,                 2.3676,                 1.9121,                0.21571,                0.28333,                0.16422,                0.06312,                 2.3953,                 3.3297,                 2.0768,              0.0019762,              0.0019762,              0.0019762
                      9,                 1.9562,                 2.2895,                 1.9187,                0.41774,                0.40663,                0.31267,                0.10911,                 2.0431,                 2.5894,                 2.0231,              0.0019723,              0.0019723,              0.0019723
                     10,                   1.93,                 2.2256,                 1.9087,                0.30306,                0.26667,                0.29234,                0.10223,                  2.219,                 2.7203,                 2.1049,              0.0019683,              0.0019683,              0.0019683
                     11,                 1.9222,                 2.1886,                 1.8688,                 0.2708,                    0.4,                0.27305,                0.08745,                 2.1325,                 2.5307,                 2.1471,              0.0019644,              0.0019644,              0.0019644
                     12,                  1.868,                 2.1128,                 1.8723,                0.30978,                0.48333,                0.25625,                0.08482,                 2.0119,                 2.6822,                 2.1237,              0.0019604,              0.0019604,              0.0019604
                     13,                 1.8621,                 2.1174,                 1.8814,                0.50964,                0.31667,                0.38774,                0.15794,                 2.1438,                 2.3659,                 2.0176,              0.0019564,              0.0019564,              0.0019564
                     14,                 1.8504,                 2.0882,                 1.8264,                0.23808,                0.42187,                0.23481,                0.07187,                 2.1148,                 2.6255,                 2.0581,              0.0019525,              0.0019525,              0.0019525
                     15,                 1.8785,                 2.0722,                 1.8317,                0.43741,                0.37588,                0.39163,                0.14113,                 1.9798,                 2.4772,                 1.9329,              0.0019485,              0.0019485,              0.0019485
                     16,                 1.8553,                 2.0644,                 1.8123,                0.48549,                    0.5,                0.41999,                0.13084,                 2.3074,                  2.197,                 2.0254,              0.0019446,              0.0019446,              0.0019446
                     17,                 1.8171,                 1.9709,                 1.8077,                0.32898,                0.46667,                0.34769,                 0.1232,                 2.1526,                 2.3962,                  2.103,              0.0019406,              0.0019406,              0.0019406
                     18,                 1.7719,                  1.932,                 1.7668,                 0.3783,                0.48333,                0.37669,                 0.1559,                 2.1022,                 2.1383,                 1.8894,              0.0019366,              0.0019366,              0.0019366
                     19,                 1.8119,                 1.8798,                  1.747,                 0.4895,                0.46667,                0.47471,                0.19664,                 2.2416,                 1.9489,                 1.9382,              0.0019327,              0.0019327,              0.0019327
                     20,                 1.7926,                 1.8633,                 1.7519,                 0.4877,                0.46667,                0.49208,                0.19091,                 2.1096,                  2.092,                 1.8991,              0.0019287,              0.0019287,              0.0019287
                     21,                 1.7915,                 1.8155,                 1.7629,                 0.5397,                0.54721,                 0.5378,                0.23799,                 1.9118,                 2.0338,                 1.8896,              0.0019248,              0.0019248,              0.0019248
                     22,                 1.7286,                 1.8106,                 1.6972,                0.48691,                0.50619,                0.44513,                0.18765,                  1.831,                 1.9237,                 1.7443,              0.0019208,              0.0019208,              0.0019208
                     23,                 1.7004,                 1.7756,                  1.706,                0.63922,                0.51667,                0.53448,                0.21563,                 1.9648,                 2.0968,                   1.87,              0.0019168,              0.0019168,              0.0019168
                     24,                  1.728,                 1.7454,                 1.7325,                0.36778,                   0.65,                0.44987,                0.18976,                 2.1656,                 1.8636,                 1.9335,              0.0019129,              0.0019129,              0.0019129
                     25,                 1.7328,                 1.7802,                 1.7206,                0.53281,                0.55124,                0.56385,                0.23919,                 2.0162,                 1.9776,                 1.8002,              0.0019089,              0.0019089,              0.0019089
                     26,                 1.7061,                   1.74,                 1.7113,                0.42143,                0.68333,                0.47702,                  0.182,                 2.2928,                 2.2121,                 2.0989,               0.001905,               0.001905,               0.001905
                     27,                 1.7089,                  1.707,                 1.6778,                0.54075,                   0.55,                0.52568,                0.23029,                 2.1164,                 1.9577,                 1.8938,               0.001901,               0.001901,               0.001901
                     28,                 1.6593,                 1.6374,                 1.6849,                0.41463,                0.63753,                0.53983,                0.21195,                 2.2106,                 1.6907,                 1.9183,               0.001897,               0.001897,               0.001897
                     29,                 1.7092,                 1.6824,                 1.6983,                0.48524,                0.59706,                0.52978,                0.21512,                 1.9768,                 1.8038,                 1.8684,              0.0018931,              0.0018931,              0.0018931
                     30,                 1.6758,                 1.6422,                 1.6753,                0.55747,                0.68333,                0.62446,                0.25622,                 2.1987,                 1.6341,                 1.8192,              0.0018891,              0.0018891,              0.0018891
                     31,                 1.6958,                 1.6488,                 1.6801,                0.54175,                0.66667,                0.59685,                0.25078,                 2.0801,                   1.68,                 1.8088,              0.0018852,              0.0018852,              0.0018852
                     32,                 1.6605,                  1.638,                 1.6928,                 0.6884,                0.61667,                0.67205,                0.27877,                 1.9359,                  1.703,                 1.7989,              0.0018812,              0.0018812,              0.0018812
