                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2354,                 1.0112,                  1.603,                0.95483,                0.87165,                0.93861,                0.57835,                 1.3789,                0.86286,                  1.751,             0.00065152,             0.00065152,             0.00065152
                      2,                 1.3113,                 1.0171,                 1.6561,                0.92186,                 0.8866,                0.94878,                0.51895,                 1.5454,                0.99616,                 1.8469,              0.0013138,              0.0013138,              0.0013138
                      3,                 1.3912,                 1.0795,                 1.7012,                0.89722,                0.80996,                0.88465,                0.54259,                 1.4295,                 1.2136,                  1.769,              0.0019717,              0.0019717,              0.0019717
                      4,                 1.3925,                 1.1262,                  1.716,                0.79072,                0.87629,                0.90298,                 0.5285,                 1.4114,                 1.0733,                 1.6945,              0.0019802,              0.0019802,              0.0019802
                      5,                 1.4137,                 1.1375,                 1.7398,                0.91199,                0.89691,                0.93525,                0.56137,                 1.4464,                  1.322,                 1.7649,              0.0019802,              0.0019802,              0.0019802
                      6,                 1.4388,                 1.1697,                 1.7491,                0.87296,                0.85014,                0.94304,                 0.5371,                 1.3926,                 1.2371,                 1.7412,              0.0019736,              0.0019736,              0.0019736
                      7,                 1.4179,                 1.1643,                 1.7648,                0.91594,                0.91753,                0.95934,                0.54886,                 1.4825,                0.88352,                 1.8203,               0.001967,               0.001967,               0.001967
                      8,                 1.4225,                 1.1522,                 1.7792,                0.88898,                0.89691,                0.92713,                0.54589,                 1.3995,                 1.0129,                 1.7067,              0.0019604,              0.0019604,              0.0019604
                      9,                 1.4145,                 1.2071,                 1.7526,                0.91527,                0.93814,                0.96968,                0.58856,                 1.2894,                0.85138,                  1.634,              0.0019538,              0.0019538,              0.0019538
                     10,                 1.4554,                 1.1707,                 1.7808,                0.93121,                0.85567,                0.92955,                0.51791,                 1.5224,                 1.0217,                 1.9252,              0.0019472,              0.0019472,              0.0019472
                     11,                 1.4403,                 1.2148,                  1.783,                 0.9158,                0.89703,                0.92963,                0.54257,                 1.4173,                 1.2715,                 1.7611,              0.0019406,              0.0019406,              0.0019406
                     12,                 1.3914,                 1.0991,                 1.6986,                0.84214,                0.85567,                0.90759,                0.50238,                 1.5411,                 1.0103,                 1.8298,               0.001934,               0.001934,               0.001934
                     13,                  1.434,                 1.1396,                 1.7469,                0.87571,                0.81443,                0.91309,                0.54112,                 1.4964,                 1.1528,                 1.8485,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.4444,                 1.2041,                 1.7779,                0.89446,                0.78637,                0.90996,                 0.5608,                 1.3506,                  1.151,                 1.7153,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.4027,                   1.17,                  1.714,                0.82375,                0.65979,                0.74406,                0.40789,                 1.7244,                 1.4615,                 1.9789,              0.0019142,              0.0019142,              0.0019142
                     16,                 1.3923,                 1.1148,                 1.6706,                0.84629,                0.87629,                0.91521,                0.55366,                 1.3274,                 1.0522,                 1.6276,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.3409,                 1.0482,                 1.6336,                0.86826,                0.90722,                0.94954,                 0.5558,                 1.4423,                0.93453,                 1.7628,               0.001901,               0.001901,               0.001901
                     18,                 1.3368,                 1.0798,                 1.6743,                0.90584,                0.89266,                0.91349,                0.53659,                  1.435,                 1.1115,                 1.7076,              0.0018944,              0.0018944,              0.0018944
                     19,                  1.342,                 1.1304,                 1.6676,                0.92559,                0.89769,                0.96532,                0.58305,                 1.3256,                 0.9834,                 1.5929,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.3589,                 1.1031,                 1.6777,                0.92605,                0.90369,                0.94608,                0.57112,                 1.3349,                0.95232,                 1.6075,              0.0018812,              0.0018812,              0.0018812
                     21,                 1.3499,                 1.0271,                 1.6371,                0.88851,                 0.9038,                 0.9435,                0.57987,                 1.3552,                0.91368,                 1.6362,              0.0018746,              0.0018746,              0.0018746
                     22,                 1.4202,                 1.1049,                 1.7074,                 0.9046,                0.87983,                0.92377,                0.53378,                 1.4489,                 1.0107,                 1.7304,               0.001868,               0.001868,               0.001868
                     23,                 1.3354,                 1.0104,                 1.6569,                 0.9116,                0.85048,                0.94799,                0.56315,                 1.4086,                 1.0583,                 1.7255,              0.0018614,              0.0018614,              0.0018614
                     24,                 1.3594,                 1.0523,                 1.6489,                0.92005,                0.91753,                0.94265,                0.54932,                 1.4105,                 1.0805,                 1.6711,              0.0018548,              0.0018548,              0.0018548
                     25,                 1.3135,                 1.0132,                 1.6384,                0.87728,                0.91753,                0.94846,                0.55309,                  1.405,                 1.0977,                  1.685,              0.0018482,              0.0018482,              0.0018482
                     26,                 1.3252,                0.99533,                 1.6205,                0.88346,                0.94845,                0.96368,                0.59992,                  1.337,                0.91872,                 1.6231,              0.0018416,              0.0018416,              0.0018416
                     27,                 1.3322,                 1.0263,                 1.6462,                0.94126,                 0.8866,                0.96148,                0.55343,                 1.4271,                0.92848,                 1.6751,               0.001835,               0.001835,               0.001835
                     28,                 1.3538,                 1.0099,                 1.6439,                0.92909,                 0.8866,                0.96185,                0.56287,                 1.4552,                0.99457,                 1.7289,              0.0018284,              0.0018284,              0.0018284
                     29,                  1.337,                 1.0555,                 1.6333,                0.97089,                0.80412,                0.93402,                0.53339,                 1.5063,                 1.0075,                 1.8294,              0.0018218,              0.0018218,              0.0018218
                     30,                  1.327,                 1.0325,                 1.6033,                0.95389,                0.85312,                0.93793,                0.53459,                 1.4955,                 1.0294,                 1.8054,              0.0018152,              0.0018152,              0.0018152
                     31,                 1.2686,                0.97188,                 1.5437,                0.90626,                0.92784,                0.93716,                0.55666,                 1.4517,                 1.0064,                 1.7281,              0.0018086,              0.0018086,              0.0018086
                     32,                 1.2554,                0.96867,                 1.5685,                0.86501,                0.85882,                0.88717,                0.53791,                 1.4317,                 1.2991,                 1.7109,               0.001802,               0.001802,               0.001802
                     33,                 1.3104,                0.97195,                 1.6117,                0.92429,                0.86598,                0.95135,                0.57089,                 1.3815,                0.84426,                 1.6656,              0.0017954,              0.0017954,              0.0017954
                     34,                 1.2882,                0.96889,                 1.5773,                0.87185,                0.91184,                 0.9349,                 0.5443,                 1.4134,                0.90082,                 1.6829,              0.0017888,              0.0017888,              0.0017888
                     35,                 1.3317,                0.97622,                 1.6004,                0.93286,                0.90722,                0.93413,                0.55034,                 1.4723,                0.91878,                 1.8186,              0.0017822,              0.0017822,              0.0017822
                     36,                 1.3265,                0.97618,                 1.5896,                0.91826,                0.92647,                0.96095,                0.58388,                 1.3415,                0.91364,                 1.6385,              0.0017756,              0.0017756,              0.0017756
                     37,                 1.2715,                0.99035,                 1.5666,                 0.9164,                 0.9041,                0.95672,                 0.5821,                 1.3863,                 0.8776,                 1.6686,               0.001769,               0.001769,               0.001769
                     38,                  1.296,                0.98864,                  1.573,                0.91205,                0.93814,                0.97267,                0.63033,                 1.2609,                0.78827,                 1.5104,              0.0017624,              0.0017624,              0.0017624
                     39,                 1.2556,                0.96108,                 1.5543,                0.93787,                0.94845,                0.97603,                 0.6229,                 1.2591,                0.82877,                 1.5192,              0.0017558,              0.0017558,              0.0017558
                     40,                 1.2092,                 0.9145,                 1.5271,                0.96523,                0.95876,                0.97188,                0.61764,                 1.2969,                0.77253,                  1.553,              0.0017492,              0.0017492,              0.0017492
                     41,                 1.2868,                 0.9736,                 1.5586,                0.87194,                0.90722,                0.93589,                0.54186,                 1.4974,                 1.0159,                  1.799,              0.0017426,              0.0017426,              0.0017426
                     42,                 1.3049,                0.95998,                 1.5963,                0.94772,                0.93452,                0.97028,                0.60109,                  1.405,                0.80799,                 1.6782,               0.001736,               0.001736,               0.001736
                     43,                  1.248,                0.92726,                 1.5681,                0.87062,                0.90191,                0.95055,                0.55914,                 1.4601,                0.91309,                 1.7237,              0.0017294,              0.0017294,              0.0017294
                     44,                  1.251,                0.94262,                 1.5749,                0.88606,                0.90722,                0.94735,                0.57621,                 1.3967,                0.87436,                 1.7624,              0.0017228,              0.0017228,              0.0017228
                     45,                 1.2415,                0.91266,                 1.5393,                0.95571,                0.88991,                0.95185,                0.58047,                  1.369,                0.87184,                 1.5787,              0.0017162,              0.0017162,              0.0017162
                     46,                 1.2371,                0.91118,                 1.5427,                0.90284,                0.95792,                0.97393,                0.63178,                 1.3318,                 0.8023,                 1.6448,              0.0017096,              0.0017096,              0.0017096
                     47,                 1.2273,                0.90529,                 1.5318,                0.94879,                0.86598,                0.96156,                 0.5971,                 1.3477,                0.79771,                 1.6466,               0.001703,               0.001703,               0.001703
                     48,                 1.2418,                0.93729,                 1.5443,                0.92078,                0.95865,                0.97441,                0.60237,                 1.3446,                 0.7794,                 1.6579,              0.0016964,              0.0016964,              0.0016964
                     49,                 1.2098,                0.91237,                 1.5184,                0.92917,                0.94672,                 0.9759,                0.61005,                 1.3344,                0.79862,                 1.5889,              0.0016898,              0.0016898,              0.0016898
